code,mode,class,name
J-04220,,01,capitaine de bateau (navigation intérieure)
J-04230,,01,officier de navigation
J-04230,,02,officière de navigation
J-04240,,01,pilote de navire
J-04250,,01,capitaine d'armement (pont)
J-04290,,01,autres officiers de pont et pilotes
J-04290,,02,autres officières de pont et pilotes
J-04300,,00,043 Officiers mécaniciens de navire
J-04315,,01,premier officier mécanicien de navire
J-04315,,02,première officière mécanicienne de navire
J-04320,,01,officier mécanicien de navire
J-04320,,02,officière mécanicienne de navire
J-04330,,01,capitaine d'armement (technique)
J-05000,,0,05 Spécialistes des sciences biologiques et techniciens assimilés
J-05100,,00,"051 Biologistes, zoologistes et spécialistes assimilés"
J-05110,,01,"biologiste, en général"
J-05120,,01,botaniste
J-05130,,01,zoologiste
J-05190,,01,"autres biologistes, zoologistes et spécialistes assimilés"
J-05200,,00,"052 Bactériologistes, pharmacologues et spécialistes assimilés"
J-05220,,01,anatomiste
J-05230,,01,biochimiste
J-05240,,01,physiologiste
J-05250,,01,bactériologiste
J-05260,,01,pathologiste (médecine)
J-05265,,01,pathologiste (médecine vétérinaire)
J-05270,,01,pharmacologiste
J-05280,,01,spécialiste de l'étude des animaux
J-05290,,01,"autres bactériologistes, pharmacologistes et spécialistes assimilés"
J-05300,,00,053 Agronomes et spécialistes assimilés
J-05320,,01,agronome
J-05330,,01,horticulteur
J-05330,,02,horticultrice
J-05340,,01,sylviculteur
J-05340,,02,sylvicultrice
J-05350,,01,pédologue
J-05360,,01,conseiller agricole
J-05360,,02,conseillère agricole
J-05390,,01,autres agronomes et spécialistes assimilés
J-05400,,00,054 Techniciens des sciences biologiques
J-05420,,01,technicien en biologie
J-05420,,02,technicienne en biologie
J-05430,,01,technicien des sciences médicales
J-05430,,02,technicienne des sciences médicales
J-05490,,01,autres techniciens des sciences biologiques
J-05490,,02,autres techniciennes des sciences biologiques
J-06000,,0,"06-07 Médecins, dentistes, vétérinaires et personnel assimilé"
J-06100,,00,061 Médecins
J-06100,,01,médecin (médecine générale)
J-06101,,01,médecin (médecine de famille)
J-06101,,02,omnipracticien
J-06101,,02,omnipracticienne
J-06102,,01,médecin (médecine interne)
J-06102,,02,interniste
J-06110,,01,chirurgien (chirurgie générale)
J-06110,,02,chirurgienne (chirurgie générale)
J-06120,,01,médecin spécialiste
J-06121,,01,hématologue
J-06122,,01,infectiologue
J-06123,,01,pneumologue
J-06124,,01,néphrologue
J-06125,,01,neurologue
J-06126,,01,dermatologue
J-06127,,01,endocrinologue
J-06128,,01,gastro-entérologue
J-06129,,01,gérontologue
J-0612A,,01,rhumatologue
J-0612B,,01,cardiologue
J-06130,,01,chirurgien spécialiste
J-06130,,02,chirurgienne spécialiste
J-06131,,01,chirurgien plasticien
J-06131,,02,chirurgienne plasticienne
J-06132,,01,chirurgien orthopédiste
J-06132,,02,chirurgienne orthopédiste
J-06133,,01,chirurgien cardiovasculaire
J-06133,,02,chirurgienne cardiovasculaire
J-06134,,01,chirurgien thoracique
J-06134,,02,chirurgienne thoracique
J-06135,,01,neurochirurgien
J-06135,,02,neurochirurgienne
J-06136,,01,gynécologue
J-06137,,01,ophthalmologiste
J-06138,,01,oto-rhino-laryngologiste
J-06139,,01,urologue
J-06140,,01,médecin (hygiène et santé publique)
J-06142,,01,médecin (santé communautaire)
J-06152,,01,pédiatre
J-06153,,01,immunologiste clinique
J-06153,,02,allergologue
J-06154,,01,physiatre
J-06156,,01,obstétricien
J-06156,,02,obstétricienne
J-06157,,01,néonatalogiste
J-06160,,01,médecin de laboratoire
J-06161,,01,pathologiste général
J-06162,,01,pathologiste clinicien
J-06162,,02,pathologiste clinicienne
J-06163,,01,anatomopathologiste
J-06164,,01,neuropathologiste
J-06165,,01,médecin biochimiste
J-06166,,01,médecin microbiologiste
J-06167,,01,hématologiste de laboratoire
J-06170,,01,radiologiste
J-06171,,01,spécialiste en radiologie diagnostique
J-06172,,01,spécialiste en médecine nucléaire
J-06173,,01,radiothérapeute
J-06173,,02,radio-oncologue
J-06190,,01,autres médecins
J-06192,,01,anesthésiste
J-06194,,01,médecin spécialiste en électroencéphalographie
J-06197,,01,neuropsychiatre
J-06198,,01,psychiatre
J-06200,,00,062 Assistants médicaux
J-06210,,01,assistant médical
J-06210,,02,assistante médicale
J-06300,,00,063 Dentistes
J-06310,,01,"dentiste, en général"
J-06320,,01,dentiste spécialiste
J-06321,,01,orthodontiste
J-06322,,01,périodontiste
J-06323,,01,endodontiste
J-06324,,01,prothodontiste
J-06325,,01,prothodontiste (prothèses fixes)
J-06326,,01,prothodontiste (prothèses amovibles)
J-06330,,01,dentiste (hygiène publique)
J-06340,,01,chirurgien buccal
J-06340,,02,chirurgienne buccale
J-06340,,02,spécialiste en chirurgie buccale et maxillo-faciale
J-06344,,01,pathologiste buccal
J-06344,,02,pathologiste buccale
J-06391,,01,spécialiste en gérodontologie
J-06392,,01,pédodontiste
J-06400,,00,064 Assistants dentaires
J-06420,,01,assistant dentaire
J-06420,,02,assistante dentaire
J-06430,,01,assistant dentaire (enfants d'âge préscolaire et scolaire)
J-06430,,02,assistante dentaire (enfants d'âge préscolaire et scolaire)
J-06440,,01,hygiéniste dentaire
J-06500,,00,065 Vétérinaires
J-06510,,01,"vétérinaire, en général"
J-06520,,01,vétérinaire (santé publique)
J-06590,,01,autres vétérinaires
J-06600,,00,066 Assistants vétérinaires
J-06610,,01,assistant vétérinaire
J-06610,,02,assistante vétérinaire
J-06700,,00,067 Pharmaciens
J-06710,,01,pharmacien
J-06710,,02,pharmacienne
J-06800,,00,068 Assistants pharmaciens
J-06810,,01,assistant pharmacien
J-06810,,02,assistante pharmacienne
J-06900,,00,069 Diététistes et nutritionnistes en santé publique
J-06910,,01,"diététiste, en général"
J-06920,,01,nutritionniste en santé publique
J-06990,,01,autres diététistes et nutritionnistes en santé publiques
J-07100,,00,071 Infirmiers diplômés
J-07110,,01,"infirmier diplômé, en général"
J-07110,,02,"infirmière diplômée, en général"
J-07120,,01,infirmier diplômé spécialisé
J-07120,,02,infirmière diplômée spécialisée
J-07130,,01,infirmier de santé publique
J-07130,,02,infirmière de santé publique
J-07140,,01,infirmier en santé du travail
J-07140,,02,infirmière en santé du travail
J-07190,,01,autres infirmiers diplômés
J-07190,,02,autres infirmières diplômées
J-07200,,00,072 Personnel infirmier n.c.a.
J-07210,,01,infirmier auxiliaire
J-07210,,02,infirmière auxiliaire
J-07300,,00,073 Sages-femmes diplômées
J-07310,,01,sage-femme diplômée
J-07400,,00,074 Personnel de sages-femmes n.c.a.
J-07410,,01,sage-femme auxiliaire
J-07500,,00,075 Optométristes et opticiens
J-07520,,01,optométriste
J-07530,,01,opticien d'ordonnances
J-07530,,02,opticienne d'ordonnances
J-07600,,00,076 Physiothérapeutes et ergothérapeutes
J-07620,,01,physiothérapeute
J-07630,,01,ergothérapeute
J-07640,,01,masseur
J-07640,,02,masseuse
